2026-06-08 09:54:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=ResNet-50 | stage=loader | lr=0.00009236 | val_macro_f1=87.9664 | prototype_update=no
2026-06-08 10:45:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=ResNet-50 | stage=train | lr=0.00007631 | val_macro_f1=90.5398 | prototype_update=no
2026-06-08 13:19:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=ResNet-50 | stage=eval | lr=0.00008308 | val_macro_f1=91.3903 | prototype_update=no
2026-06-08 09:43:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=EfficientNet-B3 | stage=loader | lr=0.00005504 | val_macro_f1=90.4783 | prototype_update=no
2026-06-08 10:59:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=EfficientNet-B3 | stage=train | lr=0.00005421 | val_macro_f1=84.8353 | prototype_update=no
2026-06-08 13:41:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=EfficientNet-B3 | stage=eval | lr=0.00009891 | val_macro_f1=87.4196 | prototype_update=no
2026-06-08 09:08:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=ConvNeXt-Tiny | stage=loader | lr=0.00007752 | val_macro_f1=85.9806 | prototype_update=no
2026-06-08 10:47:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=ConvNeXt-Tiny | stage=train | lr=0.00005672 | val_macro_f1=87.2545 | prototype_update=no
2026-06-08 13:38:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=ConvNeXt-Tiny | stage=eval | lr=0.00006854 | val_macro_f1=90.4750 | prototype_update=no
2026-06-08 09:21:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=Swin-Tiny | stage=loader | lr=0.00006843 | val_macro_f1=85.2541 | prototype_update=no
2026-06-08 11:37:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=Swin-Tiny | stage=train | lr=0.00006000 | val_macro_f1=91.9150 | prototype_update=no
2026-06-08 13:49:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=Swin-Tiny | stage=eval | lr=0.00008028 | val_macro_f1=90.5819 | prototype_update=no
2026-06-08 08:25:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=ConvNeXt+ARM | stage=loader | lr=0.00009873 | val_macro_f1=88.8111 | prototype_update=no
2026-06-08 10:20:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=ConvNeXt+ARM | stage=train | lr=0.00009802 | val_macro_f1=87.9962 | prototype_update=no
2026-06-08 12:36:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=ConvNeXt+ARM | stage=eval | lr=0.00005515 | val_macro_f1=84.8921 | prototype_update=no
2026-06-08 09:30:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=UAMP-Net | stage=loader | lr=0.00009356 | val_macro_f1=86.2656 | prototype_update=no
