2026-06-15 09:04:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=ResNet-50 | stage=loader | lr=0.00006473 | val_macro_f1=91.1345 | prototype_update=no
2026-06-15 10:31:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=ResNet-50 | stage=train | lr=0.00007737 | val_macro_f1=90.7595 | prototype_update=no
2026-06-15 13:04:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=ResNet-50 | stage=eval | lr=0.00008164 | val_macro_f1=89.7138 | prototype_update=no
2026-06-15 09:50:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=EfficientNet-B3 | stage=loader | lr=0.00005998 | val_macro_f1=85.6547 | prototype_update=no
2026-06-15 12:03:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=EfficientNet-B3 | stage=train | lr=0.00005329 | val_macro_f1=90.4924 | prototype_update=no
2026-06-15 14:06:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=EfficientNet-B3 | stage=eval | lr=0.00005009 | val_macro_f1=87.7631 | prototype_update=no
2026-06-15 08:25:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=ConvNeXt-Tiny | stage=loader | lr=0.00005690 | val_macro_f1=86.8942 | prototype_update=no
2026-06-15 10:39:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=ConvNeXt-Tiny | stage=train | lr=0.00005189 | val_macro_f1=85.2017 | prototype_update=no
2026-06-15 13:39:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=ConvNeXt-Tiny | stage=eval | lr=0.00008419 | val_macro_f1=87.9289 | prototype_update=no
2026-06-15 08:43:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=Swin-Tiny | stage=loader | lr=0.00007739 | val_macro_f1=84.7161 | prototype_update=no
2026-06-15 11:52:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=Swin-Tiny | stage=train | lr=0.00007089 | val_macro_f1=86.5147 | prototype_update=no
2026-06-15 13:50:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=Swin-Tiny | stage=eval | lr=0.00005269 | val_macro_f1=89.3209 | prototype_update=no
2026-06-15 08:55:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=ConvNeXt+ARM | stage=loader | lr=0.00009402 | val_macro_f1=85.3887 | prototype_update=no
2026-06-15 10:22:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=ConvNeXt+ARM | stage=train | lr=0.00005897 | val_macro_f1=89.2504 | prototype_update=no
2026-06-15 13:24:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=ConvNeXt+ARM | stage=eval | lr=0.00008095 | val_macro_f1=86.4161 | prototype_update=no
2026-06-15 08:49:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=UAMP-Net | stage=loader | lr=0.00007997 | val_macro_f1=87.1602 | prototype_update=no
2026-06-15 11:09:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=UAMP-Net | stage=train | lr=0.00007035 | val_macro_f1=86.9677 | prototype_update=yes
2026-06-15 13:23:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=UAMP-Net | stage=eval | lr=0.00005332 | val_macro_f1=86.9749 | prototype_update=no
